过去赔本现在赚钱  津市公用企业改善经营管理,1950-01-26,1950-01,教育
半年来政治教学的经验,1950-01-26,1950-01,教育
京市大中学九十余单位    召开生产动员大会    强调各单位作好生产计划,1950-03-19,1950-03,教育
学习劳动，改善生活    京中学课余生产的几个问题,1950-03-23,1950-03,教育
京津七大学史学系师生    座谈教学学习经验,1950-04-12,1950-04,教育
京市学联执委会    推出负责单位制定半年工作计划,1950-04-17,1950-04,教育
马列主义与自然科学（新书介绍）,1950-04-20,1950-04,教育
京市学校生产委员会第六次会议	决定加强生产领导	克服目前学校生产缺点,1950-04-21,1950-04,教育
秦皇岛开滦磅房    读报组报告读报心得,1950-05-13,1950-05,教育
人民朝鲜的初等义务教育,1950-06-01,1950-06,教育
华北某师图书馆下连队,1950-06-12,1950-06,教育
为扶植私立中小学发展    文教局公布经费补助办法    合乎条件之中小学即可申请,1950-06-14,1950-06,教育
湖北襄阳专区等地    大量增设民办村小,1950-07-14,1950-07,教育
西北革命大学兰州分校    各族学员二百余人毕业,1950-07-19,1950-07,教育
华东中南各地学校师生暑期学习土地改革政策,1950-07-30,1950-07,教育
我对于《高中本国近代史》的几点说明,1950-09-06,1950-09,教育
读《我要知道原子问题》,1950-11-01,1950-11,教育
发扬反抗压迫反抗侵略的优良传统    回民学院大部师生志愿参军,1950-11-06,1950-11,教育
武汉学生参加军事干部学校    受到师长家长鼓励,1950-12-12,1950-12,教育
京工农速成中学举行开学典礼    教育部马叙伦、韦悫正副部长及吴晗副市长亲临祝贺,1950-12-17,1950-12,教育
抗议奥斯汀诬蔑    天津教会团体学校医院六千余人示威游行    南开大学等校师生和在津留美学生二千余人同时举行示威游行大会,1950-12-28,1950-12,教育
