中国南极越冬考察队回国,1990-01-05,1990-01,时政
今起解除北京市部分地区戒严,1990-01-11,1990-01,时政
讨论中东和平进程最新发展,1990-01-12,1990-01,时政
港人欢迎解除北京市部分地区戒严,1990-01-13,1990-01,时政
联合国预计世界经济增长将放慢,1990-01-14,1990-01,时政
我驻法国使馆举行春节招待会,1990-01-22,1990-01,时政
美国反越战影片获金球奖,1990-01-25,1990-01,时政
保共第１４次（特别）代表大会开幕,1990-02-01,1990-02,时政
民族地区治理整顿应从实际出发,1990-02-12,1990-02,时政
继续斗争结束种族隔离制度,1990-02-13,1990-02,时政
人大常委会第十二次会议今日召开,1990-02-19,1990-02,时政
在禁毒国际合作中应尊重各国主权,1990-02-23,1990-02,时政
李瑞环会见苏联电影代表团,1990-03-09,1990-03,时政
监察机关开展反腐败斗争初见成效,1990-03-25,1990-03,时政
尼加拉瓜反政府武装推迟解散,1990-03-28,1990-03,时政
香港政治体制要符合“一国两制”原则,1990-03-29,1990-03,时政
法国最后一名人质获释之后,1990-04-13,1990-04,时政
欧共体特别首脑会议结束,1990-04-30,1990-04,时政
一波三折的安哥拉和平进程,1990-05-04,1990-05,时政
李贵鲜会见日本大藏大臣,1990-05-05,1990-05,时政
苏共中央书记会见本报代表团,1990-05-11,1990-05,时政
美军在巴拿马进行军事演习,1990-05-18,1990-05,时政
青海震区各项工作逐步正常,1990-05-22,1990-05,时政
美六艘救援舰只前往利比里亚,1990-06-02,1990-06,时政
法国总统会见民德总理,1990-06-20,1990-06,时政
根舍主张北约和华约建立新关系,1990-07-04,1990-07,时政
苏联邦委员会和总统委员会举行会议,1990-07-23,1990-07,时政
江泽民总书记考察西藏,1990-07-30,1990-07,时政
英将首次进行艾滋病疫苗人体试验,1990-08-04,1990-08,时政
台湾方面人为制造一起惨案二十五名大陆同胞窒息死亡,1990-08-04,1990-08,时政
苏联选手破两项自行车世界纪录,1990-08-08,1990-08,时政
郑拓彬同普拉维罗会谈,1990-08-08,1990-08,时政
我国第一艘载人飞艇首飞成功,1990-08-11,1990-08,时政
斯东部泰米尔人与穆斯林冲突加剧,1990-08-17,1990-08,时政
南斯拉夫一煤矿发生大爆炸,1990-08-28,1990-08,时政
阿拉法特提出和平解决海湾危机方案,1990-08-31,1990-08,时政
中澳第四次部长级经济联委会闭幕,1990-09-06,1990-09,时政
长岛建成我国第一座反渗透淡化站,1990-09-07,1990-09,时政
我军友好参观团访捷,1990-09-17,1990-09,时政
呼吁和平解决海湾危机,1990-09-21,1990-09,时政
钱外长抵纽约出席联大,1990-09-26,1990-09,时政
侨办等举行国庆招待会,1990-09-30,1990-09,时政
制止以色列当局的暴行,1990-10-14,1990-10,时政
日本舆论反对政府向海外派遣自卫队,1990-10-16,1990-10,时政
索马里首都发生骚乱,1990-10-25,1990-10,时政
朝鲜“北南统一足球赛”转战汉城,1990-10-25,1990-10,时政
邹斯颐遗体告别仪式在京举行,1990-11-01,1990-11,时政
联大改选５个安理会非常任理事国,1990-11-03,1990-11,时政
坦桑总统任命马莱赛拉为新总理,1990-11-10,1990-11,时政
我国轻纺品展销会在澳闭幕,1990-11-19,1990-11,时政
伊拉克宣布将释放所有外国人,1990-11-20,1990-11,时政
讨论全面政治解决柬埔寨问题,1990-12-13,1990-12,时政
捷不再在美代表古外交利益,1990-12-21,1990-12,时政
人大常委会第１７次会议闭幕,1990-12-29,1990-12,时政
伊拉克拒绝撤出科威特,1990-12-31,1990-12,时政
