坚持依法治税,1999-01-11,1999-01,财经
去年冶金行业实现利税183亿元,1999-01-19,1999-01,财经
国际农副产品加工业展示会将举行,1999-01-23,1999-01,财经
走依法防洪之路,1999-02-02,1999-02,财经
农民的粮食为啥卖不出（专题调查）,1999-03-25,1999-03,财经
缺斤短两何其多,1999-04-05,1999-04,财经
科索沃战事不断证券市场波动加剧巴尔干局势紧张国际油价持续上扬,1999-04-15,1999-04,财经
祁连山下（中国画）,1999-04-23,1999-04,财经
加大肉类市场调控力度,1999-04-26,1999-04,财经
保监会提出探索新险种,1999-04-28,1999-04,财经
主动寻求监督（探源与思考）,1999-04-28,1999-04,财经
大理农民人人享有初级保健,1999-05-19,1999-05,财经
《醒狮图》入藏中国抗战纪念馆,1999-05-27,1999-05,财经
’99世界邮展纪念邮资片首发,1999-05-27,1999-05,财经
年内关闭非法采油和土法小炼油,1999-05-29,1999-05,财经
国际油市乍暖还寒,1999-06-02,1999-06,财经
潍坊为联合收割机保险,1999-06-07,1999-06,财经
我国首部丝织《论语》出版,1999-06-09,1999-06,财经
水稻种子质量参差不齐（市场监督）,1999-06-16,1999-06,财经
城南旧事重提起豆花夏日又飘香,1999-06-21,1999-06,财经
粮食结构调整要形成合力,1999-08-03,1999-08,财经
欧佩克油价创两年来新高,1999-08-04,1999-08,财经
第二十二届万国邮联大会世纪珍藏金银卡面世（业内信息）,1999-08-09,1999-08,财经
世界石油市场趋紧,1999-08-12,1999-08,财经
培养后备是关键,1999-09-02,1999-09,财经
让市场说了算,1999-09-09,1999-09,财经
南国红豆发新枝,1999-09-10,1999-09,财经
中华民族利益的出卖者,1999-09-12,1999-09,财经
一九九九年北影收获金秋,1999-10-15,1999-10,财经
我国2000年纪特邮票图稿基本确定,1999-10-23,1999-10,财经
玻璃彩绘《清明上河图》问世,1999-10-31,1999-10,财经
展翼长空五十年,1999-11-10,1999-11,财经
网上优势明显  孙玥表现突出,1999-11-12,1999-11,财经
全国农产品促销策略研讨会举行,1999-12-18,1999-12,财经
农业结构调整要靠特色取胜,1999-12-30,1999-12,财经
