中央人民政府政务院发布    关于新解放区土地改革及征收公粮的指示,1950-03-01,1950-03
发扬革命精神彻底解放台湾！首都集会纪念“二·二八”	朱总司令说：我军绝对有把握完成解放台湾的神圣任务，	望台胞勇敢配合行动。,1950-03-01,1950-03
“二·二八”三周年纪念大会    发表告全国同胞书    号召支援解放台湾,1950-03-01,1950-03
人民监察委员会集会    通过在中央人民政府各部门建立通讯    监察员制度及检查生产救灾工作等案,1950-03-01,1950-03
向毛主席及解放军致敬电,1950-03-01,1950-03
天津大部分公营工厂  拟定今年生产计划	强调逐步实现各种定额制度，作到经营企业化,1950-03-01,1950-03
浙江嘉兴专区公债超额完成,1950-03-01,1950-03
诗人戴望舒昨逝世    陆定一等亲往照料入殓,1950-03-01,1950-03
朝鲜人民的反日民族解放斗争	“三、一”运动卅一周年,1950-03-01,1950-03
青岛中纺各厂实行民主化管理    生产率超过解放前水平    降低成本节省原料共达四十亿元,1950-03-01,1950-03
本报补正,1950-03-01,1950-03
中华人民共和国苏维埃社会主义共和国联盟	建立电报电话联络协定,1950-03-01,1950-03
中华人民共和国苏维埃社会主义共和国联盟	互相交换邮件和包裹协定,1950-03-01,1950-03
首都春节科展闭幕    观众共达十万余人    妇幼卫生与从猿到人两部分将在中山公园等地继续展览,1950-03-01,1950-03
人民电影事业猛进    本年内将制新片一百六十余部    为工农兵扩增放映队至七百个,1950-03-01,1950-03
各种人物看科展,1950-03-01,1950-03
用展览会来普及科学    ——北京人民广播电台二十二日广播词摘要,1950-03-01,1950-03
共产党的好女儿——赵桂兰,1950-03-01,1950-03
京郊两批村庄完成土改    农民生产情绪提高    最后六十余村土改亦已开始,1950-03-01,1950-03
京郊龙河村土地改革中取消封建地租剥削	保护进步农业设备有利农业资本家发展生产,1950-03-01,1950-03
京市八面槽添设邮政支局,1950-03-01,1950-03
中央、北京人民电台今日广播要目,1950-03-01,1950-03
广大选民热烈为候选人作选举宣传	苏联选举运动进入新阶段	候选人已开始与选民会面，保证决尽全力以符人民的信托。,1950-03-01,1950-03
二月事件胜利二周年    捷人民广泛纪念    二月突击劳动已获新成就,1950-03-01,1950-03
粉碎了反动派武装政变    捷克走上社会主义道路    捷领袖著文纪念二月事件,1950-03-01,1950-03
美特务机关反民主活动引起了保守集团方面的谴责,1950-03-01,1950-03
美国人民渴望和平  坚持要求与苏谈判    大批要求和平的信件涌进国会,1950-03-01,1950-03
真理报发表马耶夫斯基评论	曼谷会议阴谋注定失败	亚洲人民已经起来反对帝国主义，	坚决要一举永远粉碎殖民奴役的锁链。,1950-03-01,1950-03
中苏条约维护世界和平  帝国主义阵营极度慌乱	美帝离间与破坏阴谋必遭更悲惨失败,1950-03-01,1950-03
首都市中招考编级生优待职工及华侨子弟    三月二日至四日同时报名,1950-03-01,1950-03
京各界代表会议决议    民主妇联开始传达    梁柯平广播号召全市妇女贯彻决议迎接“三八”节,1950-03-01,1950-03
保护首都人民生命财产	京市防空委员会成立	各区、机关团体将设分会,1950-03-01,1950-03
京郊八里庄的土地改革工作,1950-03-01,1950-03
论报刊述评    在联共（布）中央最高党校讲,1950-03-01,1950-03
缺乏真实性的报道举例,1950-03-01,1950-03
罗浮山上的伐木队,1950-03-01,1950-03
金宝娘,1950-03-01,1950-03
悼望舒,1950-03-01,1950-03
从语言观点看聂市长和张副市长的两个报告,1950-03-01,1950-03
苏联部长会议及联共中央决定	再次减低国营贸易物价	人民全年将获利千余亿卢布,1950-03-02,1950-03
苏联部长会议决定    卢布按含金量计值    提高与外币兑换率,1950-03-02,1950-03
美国农民愈趋贫困  收入减少债务增加,1950-03-02,1950-03
新华社重要补正,1950-03-02,1950-03
石景山钢铁厂领导干部曾有事务主义官僚主义作风    严重浪费国家资财    检查后已整顿纠正,1950-03-02,1950-03
人类美满生活的道路,1950-03-02,1950-03
严格检查官僚主义,1950-03-02,1950-03
山西及北京等省市劳动局    处理劳资关系取得经验    签订集体合同后，劳资纠纷大减，生产随之恢复与发展,1950-03-02,1950-03
生产纪律废弛忽视矿井安全	东北抚顺龙凤煤矿搭连井  发生瓦斯爆发事件	伤亡二十七人生产损失严重  各有关人员已受到严厉处分,1950-03-02,1950-03
旅大重视消防工作  工厂企业火灾减少,1950-03-02,1950-03
开滦林西等煤矿忽视安全问题  连续发生事故,1950-03-02,1950-03
西南区开始推销公债    各省市分配数额确定,1950-03-02,1950-03
南京、福州加强防空反轰炸斗争深入展开,1950-03-02,1950-03
华东军政委员会举行首次行政会议	饶主席指示：机构要精干，工作要讲求效率，	各部门要密切配合。,1950-03-02,1950-03
全国林业业务会议开幕    了解情况制订工作方针和任务,1950-03-02,1950-03
福建我军深入展开剿匪工作    解放闽西北光泽县城    去年三个月歼土匪万余名,1950-03-02,1950-03
